0 7.900996e+00
1 2.028109e+00
2 1.516378e+00
3 1.345463e+00
4 1.259845e+00
5 1.208484e+00
6 1.174207e+00
7 1.149718e+00
8 1.131333e+00
9 1.117028e+00
10 1.105574e+00
11 1.096198e+00
12 1.088378e+00
13 1.081758e+00
14 1.076079e+00
15 1.071154e+00
16 1.066842e+00
17 1.063035e+00
18 1.059648e+00
19 1.056617e+00
20 1.053886e+00
21 1.051415e+00
22 1.049166e+00
23 1.047112e+00
24 1.045228e+00
25 1.043494e+00
26 1.041892e+00
27 1.040409e+00
28 1.039030e+00
29 1.037746e+00
30 1.036546e+00
31 1.035424e+00
32 1.034371e+00
33 1.033382e+00
34 1.032450e+00
35 1.031571e+00
36 1.030740e+00
37 1.029954e+00
38 1.029209e+00
39 1.028502e+00
40 1.027830e+00
41 1.027191e+00
42 1.026581e+00
43 1.026000e+00
44 1.025445e+00
45 1.024914e+00
46 1.024407e+00
47 1.023920e+00
48 1.023454e+00
49 1.023007e+00
