0 7.213750e+00
1 2.047733e+00
2 1.526565e+00
3 1.352418e+00
4 1.265363e+00
5 1.213126e+00
6 1.178290e+00
7 1.153393e+00
8 1.134709e+00
9 1.120166e+00
10 1.108523e+00
11 1.098990e+00
12 1.091039e+00
13 1.084305e+00
14 1.078529e+00
15 1.073520e+00
16 1.069132e+00
17 1.065258e+00
18 1.061812e+00
19 1.058727e+00
20 1.055947e+00
21 1.053431e+00
22 1.051142e+00
23 1.049050e+00
24 1.047131e+00
25 1.045365e+00
26 1.043733e+00
27 1.042222e+00
28 1.040817e+00
29 1.039508e+00
30 1.038286e+00
31 1.037142e+00
32 1.036069e+00
33 1.035061e+00
34 1.034111e+00
35 1.033215e+00
36 1.032368e+00
37 1.031567e+00
38 1.030807e+00
39 1.030086e+00
40 1.029401e+00
41 1.028749e+00
42 1.028127e+00
43 1.027534e+00
44 1.026968e+00
45 1.026427e+00
46 1.025909e+00
47 1.025413e+00
48 1.024938e+00
49 1.024481e+00
