0 1.457738e+00
1 2.579971e+00
2 5.096721e+00
3 1.094205e+01
4 2.481570e+01
5 5.807371e+01
6 1.382611e+02
7 3.324182e+02
8 8.041302e+02
9 1.953388e+03
10 4.759934e+03
11 1.162715e+04
12 2.845836e+04
13 6.977011e+04
14 1.712950e+05
15 4.210674e+05
16 1.036150e+06
17 2.552127e+06
18 6.291363e+06
19 1.552070e+07
20 3.831506e+07
21 9.464357e+07
22 2.339117e+08
23 5.784038e+08
24 1.430903e+09
25 3.541386e+09
26 8.768107e+09
27 2.171678e+10
28 5.380598e+10
29 1.333525e+11
30 3.305967e+11
31 8.198115e+11
32 2.033482e+12
33 5.045109e+12
34 1.251984e+13
35 3.107558e+13
36 7.714840e+13
37 1.915653e+14
38 4.757568e+14
39 1.181754e+15
40 2.935887e+15
41 7.294886e+15
42 1.812848e+16
43 4.505727e+16
44 1.120021e+17
45 2.784473e+17
46 6.923292e+17
47 1.721603e+18
48 4.281557e+18
49 1.064920e+19
